name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Donny van de Beek,Midfielder,Man Utd,30,BHA (H) 2 - 1,1,8,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-113,106690,6.6
Jake Livermore,Midfielder,West Brom,30,CHE (A) 2 - 5,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,-1,3725,4.7
Jacob Ramsey,Midfielder,Aston Villa,30,FUL (H) 3 - 1,1,16,0,0,0,0,0,0,0,0,0,0,0,3,6.4,1.6,0.0,0.8,2,7927,4.5
Fabian Schär,Defender,Newcastle,30,TOT (H) 2 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-9,4902,4.9
Pablo Hernández Domínguez,Midfielder,Leeds,30,SHU (H) 2 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-46,18708,5.7
Alex Nicolao Telles,Defender,Man Utd,30,BHA (H) 2 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-477,43127,5.3
Vitor Ferreira,Midfielder,Wolves,30,WHU (H) 2 - 3,1,18,0,0,0,0,0,0,0,0,0,0,0,3,0.6,1.2,0.0,0.2,-15,2361,4.7
Conor Hourihane,Midfielder,Aston Villa,30,FUL (H) 3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-38,7457,5.9
Marvelous Nakamba,Midfielder,Aston Villa,30,FUL (H) 3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-426,35988,4.3
James McCarthy,Midfielder,Crystal Palace,30,EVE (A) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-629,60481,4.3
Daniel Amartey,Defender,Leicester,30,MCI (H) 0 - 2,0,90,0,0,0,2,0,0,0,1,0,0,0,11,10.8,0.5,0.0,1.1,918,117890,3.9
Juan Mata,Midfielder,Man Utd,30,BHA (H) 2 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-68,10037,5.8
Fraser Forster,Goalkeeper,Southampton,30,BUR (H) 3 - 2,2,90,0,0,0,2,0,0,0,0,0,3,0,17,23.8,0.0,0.0,2.4,17227,495790,4.0
Branislav Ivanovic,Defender,West Brom,30,CHE (A) 2 - 5,1,12,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-36,7043,4.4
Keinan Davis,Forward,Aston Villa,30,FUL (H) 3 - 1,4,23,0,1,0,0,0,0,0,0,0,0,0,17,22.0,14.3,2.0,3.8,-10351,625318,4.2
Alireza Jahanbakhsh,Midfielder,Brighton,30,MUN (A) 2 - 1,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.0,0.0,0.1,-32,2612,5.4
Bernard Anício Caldeira Duarte,Midfielder,Everton,30,CRY (H) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-124,10153,5.7
Paul Dummett,Defender,Newcastle,30,TOT (H) 2 - 2,0,90,0,0,0,2,0,0,0,1,0,0,0,8,9.8,0.9,0.0,1.1,-376,1975,4.4
Nathan Tella,Midfielder,Southampton,30,BUR (H) 3 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,642,27124,4.3
Bamidele Alli,Midfielder,Spurs,30,NEW (A) 2 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-3726,48103,7.4
Fernando Marçal,Defender,Wolves,30,WHU (H) 2 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-17,6820,4.7
Calum Chambers,Defender,Arsenal,30,LIV (H) 0 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,5,9.8,1.4,0.0,1.1,721,3901,4.5
Jamie Shackleton,Midfielder,Leeds,30,SHU (H) 2 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-11,2152,4.8
Filip Krovinovic,Midfielder,West Brom,30,CHE (A) 2 - 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-7,708,4.9
Luke Thomas,Defender,Leicester,30,MCI (H) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-635,16453,4.1
Cengiz Ünder,Midfielder,Leicester,30,MCI (H) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-44,3986,5.7
Andriy Yarmolenko,Midfielder,West Ham,30,WOL (A) 2 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-36,5300,5.5
Jonathan Castro Otto,Defender,Wolves,30,WHU (H) 2 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,514,4207,5.4
James Tomkins,Defender,Crystal Palace,30,EVE (A) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-9,2131,4.4
Virgil van Dijk,Defender,Liverpool,30,ARS (A) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1010,510506,6.2
Naby Keita,Midfielder,Liverpool,30,ARS (A) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-17,14067,5.2
Harry Winks,Midfielder,Spurs,30,NEW (A) 2 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-46,7876,5.1
Jakub Moder,Midfielder,Brighton,30,MUN (A) 2 - 1,2,86,0,0,0,2,0,0,0,0,0,0,0,5,5.2,5.6,20.0,3.1,146,843,5.0
Kevin Long,Defender,Burnley,30,SOU (A) 3 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-219,12352,4.3
Jean-Philippe Mateta,Forward,Crystal Palace,30,EVE (A) 1 - 1,1,13,0,0,0,0,0,0,0,0,0,0,0,5,5.2,0.1,17.0,2.2,-677,3903,5.5
Joe Bryan,Defender,Fulham,30,AVL (A) 3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-294,23481,4.5
Robert Snodgrass,Midfielder,West Brom,30,CHE (A) 2 - 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,5617,5.6
Hal Robson-Kanu,Forward,West Brom,30,CHE (A) 2 - 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,7032,5.2
Hamza Choudhury,Midfielder,Leicester,30,MCI (H) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,4078,4.6
Ian Carlo Poveda-Ocampo,Midfielder,Leeds,30,SHU (H) 2 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-57,21863,4.2
Alex Oxlade-Chamberlain,Midfielder,Liverpool,30,ARS (A) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-6,3973,6.3
DeAndre Yedlin,Defender,Newcastle,30,TOT (H) 2 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-178,14137,4.3
Jack Robinson,Defender,Sheffield Utd,30,LEE (A) 2 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,15,6833,4.2
Lys Mousset,Forward,Sheffield Utd,30,LEE (A) 2 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,5458,5.8
Daniel N'Lundulu,Forward,Southampton,30,BUR (H) 3 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-564,19128,4.5
Carlos Vinicius Alves Morais,Forward,Spurs,30,NEW (A) 2 - 2,1,45,0,0,0,1,0,0,0,0,0,0,0,1,2.0,1.0,2.0,0.5,406,8104,6.9
Shane Long,Forward,Southampton,30,BUR (H) 3 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-335,36069,5.1
Adrián San Miguel del Castillo,Goalkeeper,Liverpool,30,ARS (A) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-80,29179,4.2
Morgan Sanson,Midfielder,Aston Villa,30,FUL (H) 3 - 1,2,66,0,0,0,1,0,0,0,0,0,0,0,8,6.6,3.7,3.0,1.3,-27,602,5.5
Josh Benson,Midfielder,Burnley,30,SOU (A) 3 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-4,1786,4.5
Joshua King,Forward,Everton,30,CRY (H) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-530,7562,5.2
Caoimhin Kelleher,Goalkeeper,Liverpool,30,ARS (A) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-160,7867,4.5
Joseph Gomez,Defender,Liverpool,30,ARS (A) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-234,84645,5.2
Neco Williams,Defender,Liverpool,30,ARS (A) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4310,351189,3.8
